L0,L1,L2,L3,L4,L5,value
2101,2162,2177,2200,,,175541.626786128
2101,2162,2177,2201,,,195598.131259237
2101,2162,2177,2202,,,369805.161580903
2101,2162,2177,11815,,,10296.3022632629
2101,2162,2177,23125,,,43690.0578610762
2101,2162,2177,0,,,22477.768482311
2101,2162,2181,2197,,,2844720.69951715
2101,2162,2181,2200,,,134191.748359418
2101,2162,2181,2201,,,149523.823437565
2101,2162,2181,0,,,4029.41859109285
2101,2162,2182,2193,,,999539.980658439
2101,2162,2182,2198,,,5647734.32580068
2101,2162,2182,2200,,,266416.082105118
2101,2162,2182,2201,,,296855.445350622
2101,2162,2182,16363,,,13696.2372558468
2101,2162,2182,0,,,22344.734512411
2101,2162,2183,2199,,,332172.214489485
2101,2162,2183,2200,,,15669.2958385438
2101,2162,2183,2201,,,17459.5908690161
2101,2162,2183,0,,,1956.60240710093
2101,2162,2191,2177,,,37684.2946312934
2101,2162,2191,2181,,,11451.2476135848
2101,2162,2191,2182,,,26774.9086970147
2101,2162,2191,2191,,,11551.2120475589
2101,2162,2191,34777,,,1418863.91381608
2101,2162,2191,0,,,12717.5930055437
2101,2162,4127,4145,,,11724.4860046834
2101,2162,4127,0,,,2966.89695485856
2101,2162,4132,4148,,,15650.2589393293
2101,2162,4132,0,,,9459.77245206051
2101,2162,4141,34792,,,9309.35992088597
2101,2162,4141,0,,,1518.65714962598
2101,2162,4517,0,,,8572.58303560532
2101,2162,4521,4537,,,45931.1992140603
2101,2162,4521,0,,,3912.23495184204
2101,2162,4523,4539,,,23881.8523496808
2101,2162,4523,0,,,2034.16020212577
2101,2162,4531,34795,,,8810.14591375091
2101,2162,4531,0,,,234.752969369399
2101,2162,5167,0,,,10954.1729510039
2101,2162,5171,5187,,,148356.584725771
2101,2162,5171,5190,,,18952.0706357324
2101,2162,5171,5191,,,17819.6654700659
2101,2162,5171,7267,,,26824.1999289503
2101,2162,5171,16757,,,14330.9591440976
2101,2162,5171,0,,,23593.0674299817
2101,2162,5172,0,,,16045.2600316433
2101,2162,5181,0,,,20924.5565010491
2101,2162,5687,5705,,,10021.1374933719
2101,2162,5687,0,,,3093.21396476368
2101,2162,5691,5707,,,18984.7735732784
